test,passed,evidence
SimEvents installed,1,"26.1"
SimEvents licence,1,"license('test','SimEvents') must return 1"
Required blocks,1,"13/13 required blocks found"
Baseline produces visits,1,"51 arrivals; 51 completed"
Outcome accounting,1,"routine + reviewed equals completed"
Utilization bounds,1,"all utilization values are 0–1"
Bandwidth calculation,1,"1.500 minutes/image"
Bottleneck generated,1,"camera at 71.7%"
Total screening time,1,"16.17 minutes"
Seven scenarios,1,"7 scenarios available"
Network constraint changes delay,1,"8.10 vs 1.50 min"
Extra camera improves throughput,1,"105 vs 68 completed"
Extra camera reduces queue,1,"4 vs 38 waiting"
District exceeds 100k planning target,1,"127000 annual-equivalent screenings"
